"원본 행","원본 이름","반영 이름","소장품번호","분류","정정된 공식 링크","처리"
"1","주먹도끼","주먹도끼","신수19143","선사·초기철기","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2486","일치"
"2","농경문 청동기","농경문 청동기","신수1794","선사·초기철기","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1991","일치"
"3","대한제국 황제의 인장","국새 칙명지보","신수241","근대·대한제국","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1921","CSV 3행의 링크는 아미타불을 가리켜 사용할 수 없음. 황제 인장 주제의 대표 유물로 칙명지보(신수241)를 선정. 원래 의도한 인장인지는 운영자 확인 필요."
"4","감산사 미륵보살","감산사 석조미륵보살입상","본관1958","통일신라","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=348","공식 명칭으로 정리"
"5","감산사 아미타불입상","감산사 석조아미타불입상","본관1959","통일신라","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=349","공식 명칭으로 정리"
"6","호우총 청동그릇","호우총 청동그릇","신수120","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1917","일치"
"7","나전 칠 연꽃 넝쿨 무늬 상자","나전 칠 연꽃 넝쿨 무늬 상자","덕수4128","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1332","일치"
"8","금관","금관","본관9435","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=159727","일치"
"9","서직수 초상","서직수 초상","덕수5688","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1434","일치"
"10","빗살무늬토기","빗살무늬토기","신수22891","선사·초기철기","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=4328","일치"
"11","창조신 복희와 여와","창조신 복희와 여와","본관4178","세계","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=188707","일치"
"12","기마 인물형 토기","기마 인물형 토기","본관9705","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=3802","일치"
"13","청자 투각 칠보무늬 향로","청자 투각 칠보무늬 향로","덕수2990","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1227","일치"
"14","금동반가사유상","금동반가사유상","덕수3200","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1248","일치"
"15","법화경 그림","법화경 그림","덕수2466","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1171","일치"
"16","분청사기 구름 용무늬 항아리","분청사기 상감 구름 용무늬 항아리","덕수2411","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1160","동일 소장품번호로 병합"
