"조","순서","유물명","카테고리","공식 시대","소장품번호","공식 전시위치","위치확인","CSV 원본행","미션","공식 출처","사진 출처","비고"
"1조","1","주먹도끼","선사·초기철기","한국 - 구석기","신수19143","","공식 전시위치 미기재 · 행사일 확인 필요","1","돌의 양쪽 면과 가장자리를 살펴보고, 어떤 일에 썼을지 이야기해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2486","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2019/0925123406433/700/ssu019143-000-90000.jpg",""
"1조","2","농경문 청동기","선사·초기철기","한국 - 초기철기","신수1794","청동기","공식 페이지에 전시위치 기재 · 행사일 재확인","2","작은 청동기 안에서 사람과 새, 농사 장면을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1991","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2019/0925104115642/700/ssu001794-000-90000.jpg",""
"1조","3","빗살무늬토기","선사·초기철기","한국 - 신석기","신수22891","","공식 전시위치 미기재 · 행사일 확인 필요","10","그릇의 표면에서 반복되는 선을 찾아 간단한 무늬로 그려 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=4328","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2024/1220165016025/700/ssu022891-000-90000.jpg",""
"1조","4","한국식 동검","선사·초기철기","한국 - 초기철기","신수1844","","공식 전시위치 미기재 · 행사일 확인 필요","40","칼날이 가장 넓어지는 부분과 손잡이가 연결되는 부분을 관찰해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1996","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2024/1220163215638/700/ssu001844-000-90000.jpg",""
"1조","5","연꽃 짐승얼굴무늬 수막새","삼국·가야","한국 - 고구려","증1623","기증3","공식 페이지에 전시위치 기재 · 행사일 재확인","","짐승 얼굴의 눈·코·입을 살펴보고 가장 강렬한 표정을 골라보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=3027","https://www.museum.go.kr/relic_image//PS01001001/jng000/2021/0208132719937/700/jng001623-000-70000.jpg",""
"1조","6","산수무늬 벽돌","삼국·가야","한국 - 백제","본관13972","백제","공식 페이지에 전시위치 기재 · 행사일 재확인","43","산과 나무, 건물처럼 보이는 요소를 찾아 벽돌 속 풍경을 설명해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=856","https://www.museum.go.kr/relic_image//PS01001001/bon000/2023/0215102202251/700/bon013972-000-90100.jpg",""
"1조","7","사슴뿔모양 잔","삼국·가야","한국 - 가야","신수6700","가야","공식 페이지에 전시위치 기재 · 행사일 재확인","","잔의 가지가 뻗어나가는 모양을 살펴보고, 평범한 컵과 다른 점을 기록하세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2106","https://www.museum.go.kr/relic_image//PS01001001/ssu04/700/ssu06700.jpg",""
"1조","8","호우총 청동그릇","삼국·가야","한국 - 신라","신수120","","공식 전시위치 미기재 · 행사일 확인 필요","6","바닥의 글자를 확인해 보세요. 신라에서 발견된 그릇에 고구려 이야기가 남아 있습니다.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1917","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2024/1220163106249/700/ssu000120-000-90000.jpg",""
"1조","9","금관","삼국·가야","한국 - 신라","본관9435","","공식 전시위치 미기재 · 행사일 확인 필요","8","나뭇가지와 사슴뿔을 닮은 장식을 찾아보세요. 초록색 장식은 어디에 달려 있나요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=159727","https://www.museum.go.kr/relic_image//PS01001001/bon009/2016/1124093013018/700/bon009435-000-159.jpg","금관총 금관(본관9435). 이름이 비슷한 황남대총 금관과 구별. 현장 소장품번호 대조 필요."
"1조","10","기마 인물형 토기","삼국·가야","한국 - 신라","본관9705","신라","공식 페이지에 전시위치 기재 · 행사일 재확인","12","말과 인물의 장식에서 가장 세밀하게 표현한 부분을 하나 골라보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=3802","https://www.museum.go.kr/relic_image//PS01001001/bon000/2019/0925140046553/700/bon009705-000-90000.jpg",""
